#this format is:
#index t X V
175 1.74 5.25064106748 0.664106748158
176 1.75 5.25788577477 0.688577477156
177 1.76 5.26531170762 0.73117076206
178 1.77 5.27270789337 0.770789337087
179 1.78 5.28115079608 0.815079608149
180 1.79 5.28958354338 0.858354338154
181 1.8 5.29898568218 0.89856821776
182 1.81 5.30820287224 0.920287223775
183 1.82 5.31777960788 0.977960787945
184 1.83 5.32830249292 1.03024929216
185 1.84 5.33879813813 1.0798138125
186 1.85 5.35035142291 1.13514229122
187 1.86 5.36189075919 1.18907591888
188 1.87 5.37433631222 1.23363122156
189 1.88 5.38689719576 1.28971957608
190 1.89 5.40046809449 1.34680944885
191 1.9 5.41416841699 1.41684169923
192 1.91 5.42872111689 1.47211168948
193 1.92 5.44427192264 1.52719226373
194 1.93 5.45985112624 1.58511262356
195 1.94 5.47654858621 1.65485862057
196 1.95 5.49416950735 1.71695073538
197 1.96 5.51178611427 1.7786114271
198 1.97 5.53047062778 1.84706277757
199 1.98 5.54918548672 1.91854867224
200 1.99 5.56884989949 1.98498994888
201 2.0 5.58957516753 2.0575167534
202 2.01 5.61136511459 2.13651145942
203 2.02 5.63331651403 2.23165140256
204 2.03 5.65635048515 2.33504851478
205 2.04 5.68046172503 2.446172503
206 2.05 5.70533772635 2.53377263452
207 2.06 5.73166253114 2.66625311425
208 2.07 5.75965887424 2.76588742398
209 2.08 5.78881993692 2.88199369164
210 2.09 5.81907995915 3.00799591464
211 2.1 5.85021084904 3.12108490418
212 2.11 5.88263119744 3.26311974417
213 2.12 5.91675786651 3.37578665112
214 2.13 5.95216396403 3.51639640261
215 2.14 5.98832756981 3.63275698055
216 2.15 6.02525875025 3.72587502533
217 2.16 6.06353512514 3.85351251406
218 2.17 6.10351873313 3.95187331306
219 2.18 6.14472847003 4.07284700331
220 2.19 6.18709493476 4.20949347631
221 2.2 6.230290025 4.32900250048
222 2.21 6.27476546367 4.47654636694
223 2.22 6.32091912854 4.59191285422
224 2.23 6.36778792185 4.67879218469
225 2.24 6.41609347248 4.80934724843
226 2.25 6.46545973294 4.94597329386
227 2.26 6.5156022152 5.06022152008
228 2.27 6.56768245215 5.16824521523
229 2.28 6.62071847967 5.27184796665
230 2.29 6.67459365971 5.35936597082
231 2.3 6.72958929301 5.4589293013
232 2.31 6.78528635733 5.52863573342
233 2.32 6.84115876239 5.61587623915
234 2.33 6.89781205123 5.681205123
235 2.34 6.95540653392 5.74065339172
236 2.35 7.0126323657 5.76323656989
237 2.36 7.07064533065 5.76453306471
238 2.37 7.12869077059 5.7690770586
239 2.38 7.18654999334 5.75499933438
240 2.39 7.24434138491 5.73413849127
241 2.4 7.30074995429 5.67499542863
242 2.41 7.35705989175 5.60598917479
243 2.42 7.41188986456 5.48898645574
244 2.43 7.46561420064 5.36142006385
245 2.44 7.51791336836 5.19133683584
246 2.45 7.56822239168 5.02223916791
247 2.46 7.61617012372 4.81701237158
248 2.47 7.66166448037 4.56644803719
249 2.48 7.7048431277 4.28431277027
250 2.49 7.74478129622 3.97812962191
251 2.5 7.78146557276 3.64655727631
252 2.51 7.81387354357 3.28735435652
253 2.52 7.84331558917 2.93155891705
254 2.53 7.86843941889 2.54394188923
255 2.54 7.88949497148 2.14949714828
256 2.55 7.90626191699 1.72619169853
